0024048698;Behaviour at cryogenic temperatures of tendon anchorages for prestressing concrete;7102212919
0016811106;Microbiology of ripening honey;7006184290
9144245685;Including joint torques and power consumption in the stability margin of walking robots;6701459512,7402249975
0037372437;Different populations of tyrosine-hydroxylase-immunoreactive neurons defined by differential expression of nitric oxide synthase in the human temporal cortex;6507475009
0000126974;1,1'-Bis(dimethylvinylsilyl)ferrocene as a Two-Directional Core for the Construction of Homo- And Heterometallic Systems;7005189099
0345149500;Measuring the 3D-position of a walking vehicle using ultrasonic and electromagnetic waves;6701459512
0348167492;Effect of Nitrogen on the Band Structure and Material Gain of In <inf>y</inf>Ga<inf>1-y</inf>As<inf>1-x</inf>N<inf>x</inf>-GaAs Quantum Wells;7004351174
0035508829;Providing multimedia communications services from high altitude platforms;7202580462
0024251779;Acquired immunodeficiency syndrome in dialysis.;7402544026
0343685208;Optical memory effects in sol-gel gel-glass based thermochromic material;7201790463
0036388274;Ethanol application at veraison decreases acidity in Cabernet Sauvignon grapes;6602906363
0036556099;Selection of the most significant parameters for duration modelling in a Spanish text-to-speech system using neural networks;7004189898
0030214910;Attitude and position control method for realistic legged vehicles;6701459512
0346943605;Dynamic replacement of software in hard real-time systems;7402478477,7003400960
0028467717;An Adaptive Regularized Method for Deconvolution of Signals With Edges by Convex Projections;6603669635
0342341330;Ablative expansion plasmas in light ion beam fusion;7005888995
0031015206;Genetic exchange by recombination or reassortment is infrequent in natural populations of a tripartite RNA plant virus;7005743321
0026923225;Rubber-modified epoxy resins cured with piperidine;6701894261
0026123865;Polymer Solutions with Specific Interactions: X Parameter for Poly(4-hydroxystyrene) + Acetone;6701894261
0030301831;Water and solute movement under conventional corn in Central Spain: I. Water balance;7006323471
0030322607;Dynamics of ribosome biogenesis during the pollen developmental program by in situ localization of nucleolar targets.;6602321072
0029487531;Means of VLSI current controlled weight setting in ANNs;7102044676,6603995438
0032156253;Revisiting the mechanical behavior of alumina/silicon carbide nanocomposites;7003361122
0034214872;Uniaxial and biaxial tensile strength of calf pericardium used in the construction of bioprostheses: biomaterial selection criteria;6603659452
